#Points,sortTimeNano,ExecSimpleNano,ExecVar1Nano,Kmax,Kavg
250,1577441,4180908,181993,10,2.02
275,308589,2074284,267136,6,0.8145454545454546
302,161124,459148,181637,9,1.086092715231788
332,237987,1029296,80236,7,1.5240963855421688
365,142815,776125,88261,6,1.5506849315068494
401,269204,1307756,96436,8,1.7531172069825436
441,204279,1595202,16362,5,0.7414965986394558
485,88886,998555,17414,11,1.2515463917525773
533,125040,1463004,24542,10,1.9718574108818012
586,142626,1525483,30563,10,2.1262798634812285
644,148694,2091315,42239,12,1.796583850931677
708,175479,2553242,30606,10,0.8135593220338984
778,138101,2781366,32230,8,1.8637532133676094
855,148366,3414088,41760,10,1.3543859649122807
940,641882,5141355,39585,10,1.4393617021276597
1034,191066,5951336,52788,2,0.14796905222437137
1137,230231,7851671,53625,8,1.1152154793315743
1250,289241,8519495,66940,10,1.044
1375,493372,10955078,69383,5,0.7156363636363636
1512,325117,13629093,52058,8,1.2050264550264551
1663,363287,16474522,73690,15,0.830426939266386
1829,744440,20583454,67611,12,1.3296883542919629
2011,411550,25524588,81068,17,1.198408751864744
2212,491279,29591165,87742,12,1.6383363471971066
2433,497328,37544175,98646,15,1.8158651870119193
2676,556594,47097213,106025,15,1.4783258594917787
2943,784272,56524706,132973,13,0.9337410805300713
3237,714438,73218369,149575,15,1.3694779116465863
3560,908272,85472129,155688,19,1.2803370786516854
3916,1084338,105983779,172875,18,1.5942288049029623
4307,1346590,130678847,211131,17,1.4179243092639888
4737,1419617,160799227,210033,13,2.1418619379354022
5210,1577467,203644934,226749,18,1.4529750479846448
5731,1155178,248887575,330575,13,1.599546326993544
6304,1839547,300971216,279407,17,1.4498730964467006
6934,1827057,367693176,352427,9,0.5491779636573406
7627,2418755,449812506,373568,14,1.5654910187491806
8389,2202876,571075046,433217,21,2.0963166050780786
9227,2479703,725405062,451578,22,0.874065243307684
10149,2851363,898920147,531899,25,1.7834269386146417
11163,3351307,1129017280,664206,13,0.8436800143330646
12279,3775180,1368658440,728186,25,0.9253196514374135
